Date,Species,Airport,Airline,Flight Number,Aircraft,Type of Aircraft,Phase of Flight,Damage,Effect,Sky Condition,Precipitation,Time of Day,Number of Birds Struck,Size,Was Pilot Warned?,Remarks,Cost of Repairs,Number of Injuries,Number of Fatalities,Remains Collected?,Remains sent for Identification?,Incident Month,Incident Year,Location
01/08/2010 12:00:00 AM,Western meadowlark,Salt Lake City Intl,Skywest Airlines,01/01/4652 12:00:00 AM,CRJ900,Airplane,Approach,N,None,No Cloud,None,Day,01/03/0001 12:00:00 AM,Small,Y,,,,,1,0,January,2010,"Salt Lake City, UT
(40.788389, -111.977772)"
01/10/2010 12:00:00 AM,Rough-legged hawk,Salt Lake City Intl,Skywest Airlines,01/01/4597 12:00:00 AM,CRJ100/200,Airplane,Approach,S,None,No Cloud,None,Day,01/03/0001 12:00:00 AM,Medium,Y,"DMG TO LEFT OUTBOARD FLAP. HEIGHT REPTD AS 50-100 FT, TOOK AVG. FLAP WAS REPLACED.",40000,,,1,0,January,2010,"Salt Lake City, UT
(40.788389, -111.977772)"
03/09/2010 12:00:00 AM,Unknown bird - medium,Salt Lake City Intl,Business,,C-421,Airplane,Approach,M,None,Overcast,Rain,Day,01/03/0001 12:00:00 AM,Medium,Y,PILOT SAW BROWN BIRDS SMALL TO MED IN SIZE AND HEARD AT LEAST ONE HIT A/C. COSMETIC (CHIPPED PAINT) INDICATION OF STRIKE BUT NO ITEMS TO SAMPLE.,,,,0,0,March,2010,"Salt Lake City, UT
(40.788389, -111.977772)"
02/25/2010 12:00:00 AM,Golden eagle,Salt Lake City Intl,Unknown,,UNKNOWN,,,,,,,,01/03/0001 12:00:00 AM,Large,,"DURING ROUTINE RWY INSPN, INJURED GOLDEN EAGLE OBSERVED IN SAFETY AREA OF RWY 34L. EAGLE HAD A BROKEN WING AND SCUFF MARKS ON ITS CLAWS. NO OTHER INJURIES OBSERVED. EAGLE CAPTURED AND GIVEN TO LOCAL RAPTURE REHAB EXPERT.  1645 PM DAY.",,,,1,0,February,2010,"Salt Lake City, UT
(40.788389, -111.977772)"
04/29/2010 12:00:00 AM,Unknown bird - medium,Salt Lake City Intl,Us Airways,01/03/0012 12:00:00 AM,A-320,Airplane,Take-off run,N,None,Some Cloud,None,Day,01/03/0001 12:00:00 AM,Medium,,ATIS WARNING. BELOW F/O WINDOW. ARPT OPS HAD NO INFO ON THIS STRIKE.,,,,0,0,April,2010,"Salt Lake City, UT
(40.788389, -111.977772)"
05/30/2010 12:00:00 AM,Red fox,Salt Lake City Intl,Delta Air Lines,01/01/1835 12:00:00 AM,B-737-800,Airplane,Landing Roll,N,None,Some Cloud,None,Night,01/03/0001 12:00:00 AM,Large,N,WHEN A/C LANDED ON 34L A FOX WAS RUNNING ACROSS THE RWY AND WAS STRUCK AND KILLED. REMAINS WERE BURIED. NO APPARENT DMG TO A/C.,,,,1,0,May,2010,"Salt Lake City, UT
(40.788389, -111.977772)"
03/20/2010 12:00:00 AM,Horned lark,Salt Lake City Intl,Unknown,,UNKNOWN,,,,,,,,01/03/0001 12:00:00 AM,Small,,FOUND ON EDGE OF RWY ABEAM A3 TWY. 1613 PM DAY.,,,,1,0,March,2010,"Salt Lake City, UT
(40.788389, -111.977772)"
02/27/2010 12:00:00 AM,Canada goose,Salt Lake City Intl,Southwest Airlines,,B-737-700,Airplane,Approach,N,None,Overcast,None,,01/03/0001 12:00:00 AM,Large,,BIRD FOUND IN LANDING GEAR AFTER IT ARRIVED AT GATE. NO DMG TO A/C. A/C TIME OUT OF SERV REPTD AS 1/2 HR.,,,,1,0,February,2010,"Salt Lake City, UT
(40.788389, -111.977772)"
03/14/2010 12:00:00 AM,California gull,Salt Lake City Intl,Unknown,,UNKNOWN,,,,,,,,01/03/0001 12:00:00 AM,Medium,,FOUND ON RWY DURING ROUTINE INSPN.,,,,1,0,March,2010,"Salt Lake City, UT
(40.788389, -111.977772)"
03/21/2010 12:00:00 AM,Horned lark,Salt Lake City Intl,Unknown,,UNKNOWN,,,,,,,,01/03/0001 12:00:00 AM,Small,,FOUND ON RWY 16R/34L ON ROUTINE INSPN IN THE AREA OF TWY A4. 1615 PM DAY.,,,,1,0,March,2010,"Salt Lake City, UT
(40.788389, -111.977772)"
03/06/2010 12:00:00 AM,Horned lark,Salt Lake City Intl,Unknown,,UNKNOWN,,,,,,,,01/03/0001 12:00:00 AM,Small,,ONE DEAD HORNED LARK FULLY INTACT FOUND W SIDE OF RWY SFTY AREA AT ABOUT 8000 FT REM MARK DURING SCHED RWY CLOSURE.,,,,1,0,March,2010,"Salt Lake City, UT
(40.788389, -111.977772)"
01/02/2010 12:00:00 AM,Horned lark,Salt Lake City Intl,Skywest Airlines,01/01/4775 12:00:00 AM,CRJ100/200,Airplane,Landing Roll,N,None,Some Cloud,None,Day,01/03/0001 12:00:00 AM,Small,,ROLL OUT ON 16R BTWN TWY A-5 AND A-6 RAN THROUGH A FLOCK OF HORNED LARKS AND STRUCK ONE.,,,,1,0,January,2010,"Salt Lake City, UT
(40.788389, -111.977772)"
01/22/2010 12:00:00 AM,Horned lark,Salt Lake City Intl,Skywest Airlines,01/01/4660 12:00:00 AM,CRJ900,Airplane,Approach,N,None,Overcast,None,Day,10-Feb,Small,Y,"DID NOT HEAR OR FEEL IMPACTS. GRND CREW FOUND REMAINS AFTER LANDING. PILOT SAW BIRDS ON APRCH, NOT OVER RWY.",,,,1,0,January,2010,"Salt Lake City, UT
(40.788389, -111.977772)"
02/10/2010 12:00:00 AM,Red-tailed hawk,Salt Lake City Intl,Unknown,,UNKNOWN,,,,,,,,01/03/0001 12:00:00 AM,Medium,,HAWK FOUND IN SAFETY AREA OF RWY 16L IN THE GRASS. ID AS RED-TAILED HAWK AND LATER BURIED. 1645 PM DAY.,,,,1,0,February,2010,"Salt Lake City, UT
(40.788389, -111.977772)"
01/25/2010 12:00:00 AM,Horned lark,Salt Lake City Intl,Unknown,,UNKNOWN,,,,,,,,01/03/0001 12:00:00 AM,Small,,BIRD FOUND ON EAST RWY SHOULDER BTWN H10 AND H11 DURING ROUTINE INSPN.,,,,1,0,January,2010,"Salt Lake City, UT
(40.788389, -111.977772)"
04/28/2010 12:00:00 AM,Hermit thrush,Salt Lake City Intl,Jetblue Airways,01/03/0092 12:00:00 AM,A-320,Airplane,Approach,N,None,Some Cloud,None,Night,01/03/0001 12:00:00 AM,Small,Y,ID BY SMITHSONIAN. FAA 4270. DNA. FINAL APRCH BIRD STRUCK F/O SIDE OF WINDSCREEN. NO EFFECT ON FLT OPS. SAMPLE COLLECTED AND SENT TO SI. LOCATION REPTD AS 1.5 MILE FINAL.,,,,1,1,April,2010,"Salt Lake City, UT
(40.788389, -111.977772)"
01/02/2010 12:00:00 AM,Horned lark,Salt Lake City Intl,Unknown,,UNKNOWN,,,,,,,,10-Feb,Small,,"DURING ROUTINE INSPN RWY 16R/34L, FOUND REMAINS OF TWO HORNED LARKS ON THE SHOULDER OF RWY.",,,,1,0,January,2010,"Salt Lake City, UT
(40.788389, -111.977772)"
01/28/2010 12:00:00 AM,Horned lark,Salt Lake City Intl,Skywest Airlines,01/01/4660 12:00:00 AM,CRJ900,Airplane,Take-off run,N,None,Some Cloud,None,Day,01/03/0001 12:00:00 AM,Small,Y,SKW PILOT REPTD BIRDSTRIKE ON T/O RUN. REMAINS OF HORNED LARK LOCATED ON RWY 35. A/C CONT TO DEST.,,,,1,0,January,2010,"Salt Lake City, UT
(40.788389, -111.977772)"
04/29/2010 12:00:00 AM,Cliff swallow,Salt Lake City Intl,Delta Air Lines,01/01/2427 12:00:00 AM,A-320,Airplane,Approach,N,None,Overcast,,Day,01/03/0001 12:00:00 AM,Small,Y,A/C HIT CLIFF SWALLOW ON LANDING. CAPT STATED SWALLOW HIT NOSE CONE AND ROLLED OFF THE WINDSHIELD. BLOOD STAIN ON NOSE CONE AND CARCASS FOUND ON RWY. ID'D AS CLIFF SWALLOW. AT TWY A4.,,,,0,0,April,2010,"Salt Lake City, UT
(40.788389, -111.977772)"
03/21/2010 12:00:00 AM,Unknown bird - medium,Salt Lake City Intl,Southwest Airlines,01/02/0136 12:00:00 AM,B-737-300,Airplane,Approach,S,None,No Cloud,None,Night,10-Feb,Medium,N,"SUSPECT SEAGULLS. SAW A FORMATION OF ABOUT 3 BIRDS JUST PRIOR TO IMPACT. ONE HIT NOSE, LOW. ONE OR TWO WENT IN #1 ENG. NO ABNORMAL ENG INDICATIONS. LANDED NORMALLY AND CALLED MX. BEGAN TO SMELL FOUL SMELL ON TAXI IN. ARPT OPS NOT NOTIFIED. LOCATION REPTD AS 3 NM FINAL.",400000,,,1,0,March,2010,"Salt Lake City, UT
(40.788389, -111.977772)"
04/14/2010 12:00:00 AM,Bank swallow,Salt Lake City Intl,Skywest Airlines,01/01/4655 12:00:00 AM,CRJ900,Airplane,Approach,N,None,No Cloud,None,Day,01/03/0001 12:00:00 AM,Small,Y,"ID BY SMITHSONIAN. FAA 4267. DNA. DATA ENTRY NOTE: # STRUCK NOT REPTD, ASSUME 1, SAME AS # SEEN.",,,,1,1,April,2010,"Salt Lake City, UT
(40.788389, -111.977772)"
05/31/2010 12:00:00 AM,Horned lark,Salt Lake City Intl,Unknown,,UNKNOWN,,,,,,,,01/03/0001 12:00:00 AM,Small,,FOUND ON E SHOULDER OF RWY 16R/34L BTWN A6 & A7 DURING ROUTINE INSPN.,,,,1,0,May,2010,"Salt Lake City, UT
(40.788389, -111.977772)"
04/20/2010 12:00:00 AM,Mallard,Salt Lake City Intl,Unknown,,UNKNOWN,,,,,,,,01/03/0001 12:00:00 AM,Medium,,REMAINS OF A MALLARD FOUND IN THE APRCH LIGHTS OF RWY 34L DURING RWY INSPN. 0700 AM DAY.,,,,1,0,April,2010,"Salt Lake City, UT
(40.788389, -111.977772)"
05/21/2010 12:00:00 AM,Barn swallow,Salt Lake City Intl,Unknown,,UNKNOWN,,,,,,,,01/03/0001 12:00:00 AM,Small,,ONE WHOLE BIRD FOUND ALONG RWY EDGE LINE.,,,,1,0,May,2010,"Salt Lake City, UT
(40.788389, -111.977772)"
