Library Code ,Name of Library ,Street Address ,City (of street address),ZIP Code (of street address) ,County of the Entity,Telephone (include area code) ,Library’s main website address ,GEOCODE,Population of Legal Service Area ,Number of Central Libraries,Number of Branch Libraries,Number of Bookmobiles ,FTE of Librarians with ALA-accredited master’s degree ,Total FTE of Librarians,FTE of All Other Paid Staff ,Total FTE of Paid Employees,Number of individuals who worked for the library this fiscal year,Number of hours volunteers worked for the library this fiscal year,Operating Revenue - Total,Operating Expenditures - Total,Capital Revenue - Total,Capital Expenditures - Total,Print Materials ,Electronic Books (e-Books) ,Audio Materials - Physical Units,Audio Materials - Downloadable Units,Video Materials - Physical Units,Video Materials - Downloadable Units,Other Library Materials ,Total Library Collection,Licensed Databases paid by the State Library,Licensed Databases paid by other cooperative agreements (or consortia),Total Licensed Databases,Number of Current Print Serial Subscriptions ,Public Service Hours Per Year (all outlets) ,Weekly Scheduled Public Service Hours (all outlets) ,Library Visits ,Reference Transactions ,Number of registered borrowers,Circulation of Electronic Materials,Circulation of Physical Materials,Total Circulation,Circulation of Children’s Materials,Number of Items Provided To Other Libraries ,Number of Items Received From Other Libraries ,Total Number of Library Programs,Number of Children’s Programs ,Number of YA Programs ,Total Attendance at Library Programs,Attendance at Children’s Programs ,Attendance at YA Programs ,Number of Internet terminals for the general public,Number of patrons that used public Internet computers,Number of times patrons used the wireless network,Maintenance of Effort,Tax Rate,Total Materials Per Capita,Circulation Per Capita,Reference Transactions Per Capita,Visits Per Capita,Operating Expenditures Per Capita
UTAHCO1200,AMERICAN FORK CITY LIBRARY,64 SOUTH 100 EAST,AMERICAN FORK,84003,UTAH,8017633070,WWW.AFCITY.ORG/LIBRARY,CI1,27147,1,0,0,1,6,5.95,11.95,606,3162,735215,735215,700118,700118,100655,4297,3467,8979,4576,141,807,122922,41,,41,97,3130,64,175344,5044,16732,5156,294394,299550,150921,0,63,397,377,12,10269,9867,252,13,14307,,674863,,4.53,11.03,0.19,6.46,27.08
BEAVER1200,BEAVER PUBLIC LIBRARY,55 WEST CENTER STREET,BEAVER,84713,BEAVER,4354385274,HTTP://BEAVERUTAH.NET/LIBRARY/,CI1,3072,1,0,0,0,2.2,0.12,2.32,27,320,144314,144314,13269,13269,16271,4297,1210,8979,1026,141,0,31924,41,,41,14,1788,36,17670,815,1982,413,25468,25881,12436,0,365,123,83,28,4120,3364,626,10,5161,987,136879,,10.39,8.42,0.27,5.75,46.98
BXELDR1100,BOX ELDER COUNTY BOOKMOBILE LIBRARY,80 WEST 50 SOUTH,WILLARD,84340,BOX ELDER,4357232261,http://www.boxeldercounty.org/box-elder-county-bookmobile.htm,CO2,21872,1,0,2,0,2,1.5,3.5,14,660,285646,277852,72772,174519,34997,4297,2091,8979,751,141,10,51266,41,,41,0,2888,58,82000,0,4385,,85362,85362,59242,0,11,0,0,0,0,0,0,0,0,0,277852,0.00015,,,,,
BXELDR1200,BRIGHAM CITY LIBRARY,26 EAST FOREST STREET,BRIGHAM CITY,84302,BOX ELDER,4357235850,BCPL.LIB.UT.US,CI1,18149,1,0,0,1,3.5,4,7.5,88,348,581084,581084,0,0,54373,9018,2939,11862,4047,199,200,82638,41,,55,178,3040,60,198699,36715,12307,8061,250711,258772,110991,0,104,336,211,29,6306,4302,306,22,22627,,564624,0.000652,4.55,14.26,2.02,10.95,32.02
CACHCO1100,CACHE COUNTY BOOKMOBILE LIBRARY,15 NORTH MAIN STREET,PROVIDENCE,84332,CACHE,4357527881,HTTP://BOOKMOBILES.UTAH.GOV/CACHE/INDEX.HTML,CO2,25728,1,0,1,0.78,,0.75,,,,,,,,24461,4297,1255,8979,2053,141,4,41190,41,,41,0,2239,43,,,2938,2198,91311,93509,64929,0,33,,,,,,,8,,,,,1.6,3.63,,,0
CARBON1100,CARBON COUNTY BOOKMOBILE LIBRARY,150 WEST MAIN STREET (REAR),WELLINGTON,84542,CARBON,4356370638,HTTP://BOOKMOBILES.UTAH.GOV/CARBON/INDEX.HTML,CO2,10436,1,0,1,0,0.7,0.7,1.4,7,480,192806,192806,0,0,18070,4297,259,8979,1694,141,3,33443,41,,41,0,936,18,,,2748,328,25223,25551,17977,0,39,0,0,0,0,0,0,2,23,2,97239,,3.2,2.45,,,18.48
IRONCO1200,CEDAR CITY PUBLIC LIBRARY,303 NORTH 100 EAST,CEDAR CITY,84721,IRON,4355866661,WWW.CEDARCITYLIBRARY.ORG,CI1,29118,1,0,0,1,3.75,5.7,9.449999999999999,,,469575,469575,0,0,81629,4297,4410,8979,3250,141,51,102757,41,,42,5,3310,66,248939,,27967,6420,299805,306225,112094,0,729,303,246,3,6807,6227,238,45,65411,,460552,,3.53,10.52,,8.55,16.13
DAVSCO1100,DAVIS COUNTY LIBRARY,133 S MAIN STREET,FARMINGTON,84025,DAVIS,8014513030,WWW.CO.DAVIS.UT.US/LIBRARY,CO1,315809,1,6,0,6,9,91,100,210,3574,6012020,6012021,92575,92575,625797,4297,55972,8979,39056,141,858,735100,41,,53,587,21014,420,1390317,303396,183179,86865,2718263,2805128,1492251,2426,1247,1208,1205,1,45056,44347,103,86,253683,694714,5948810,0.000389,2.33,8.88,0.96,4.4,19.04
MILLRD1200,DELTA CITY LIBRARY,76 NORTH 200 WEST,DELTA,84624,MILLARD,4358644945,STACKSNTRACKS.LIB.UT.US,CI1,3457,1,0,0,0,1,1.58,2.58,38,45,145270,145270,0,0,33259,4297,1914,8979,2705,141,0,51295,41,,43,43,1693,35,21674,87,3491,1450,29411,30861,14440,0,308,62,42,3,1887,1332,399,8,3895,234,138117,,14.84,8.93,0.03,6.27,42.02
DUCHSN1100,DUCHESNE COUNTY LIBRARY,130 S CENTER STREET,DUCHESNE,84021,DUCHESNE,4357382800,HTTP://DUCHESNE.UTAH.GOV/COUNTY-SERVICES/LIBRARY.HTML,CO1,19244,1,1,0,1,1,6.83,7.83,12,200,451409,451409,0,0,77567,4297,3990,8979,6011,141,160,101145,41,,41,55,4788,90,50401,1200,9042,1235,137443,138678,95300,0,24,110,105,5,3000,2800,200,16,15076,800,404598,0.000281,5.26,7.21,0.06,2.62,23.46
