"Country Name","Country Code","Indicator Name","Indicator Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Afghanistan","AFG","Female to male wage ratio in the private sector (using mean)","BI.WAG.PRVS.FM.SM","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Female to male wage ratio in the private sector (using median)","BI.WAG.PRVS.FM.MD","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Female to male wage ratio in the public sector (using mean)","BI.WAG.PUBS.FM.SM","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Female to male wage ratio in the public sector (using median)","BI.WAG.PUBS.FM.MD","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Females as a share of private paid employee by wage quintile (Quintile 3)","BI.PWK.PRVS.FE.Q3.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Females as a share of private paid employees","BI.PWK.PRVS.FE.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Females as a share of private paid employees by occupation (Clerks)","BI.PWK.PRVS.CK.FE.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Females as a share of private paid employees by occupation (Elementary occupation)","BI.PWK.PRVS.EO.FE.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Females as a share of private paid employees by occupation (Professionals)","BI.PWK.PRVS.PN.FE.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Females as a share of private paid employees by occupation (Senior officials)","BI.PWK.PRVS.SN.FE.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Females as a share of private paid employees by occupation (Technicians)","BI.PWK.PRVS.TN.FE.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Females as a share of public paid employees by occupation (Clerks)","BI.PWK.PUBS.CK.FE.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Females as a share of public paid employees by occupation (Elementary occupation)","BI.PWK.PUBS.EO.FE.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Females as a share of public paid employees by occupation (Professionals)","BI.PWK.PUBS.PN.FE.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Females as a share of public paid employees by occupation (Senior officials)","BI.PWK.PUBS.SN.FE.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Females as a share of public paid employees by occupation (Technicians)","BI.PWK.PUBS.TN.FE.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Females, as a share of private paid employee by wage quintile (Quintile 1)","BI.PWK.PRVS.FE.Q1.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Females, as a share of private paid employee by wage quintile (Quintile 2)","BI.PWK.PRVS.FE.Q2.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Females, as a share of private paid employee by wage quintile (Quintile 4)","BI.PWK.PRVS.FE.Q4.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Females, as a share of private paid employee by wage quintile (Quintile 5)","BI.PWK.PRVS.FE.Q5.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Females, as a share of public paid employee by wage quintile (Quintile 1)","BI.PWK.PUBS.FE.Q1.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Females, as a share of public paid employee by wage quintile (Quintile 2)","BI.PWK.PUBS.FE.Q2.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Females, as a share of public paid employee by wage quintile (Quintile 3)","BI.PWK.PUBS.FE.Q3.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Females, as a share of public paid employee by wage quintile (Quintile 4)","BI.PWK.PUBS.FE.Q4.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Females, as a share of public paid employee by wage quintile (Quintile 5)","BI.PWK.PUBS.FE.Q5.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Females, as a share of public paid employees","BI.PWK.PUBS.FE.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Individuals with no education as a share of private paid employees","BI.PWK.PRVS.NN.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Individuals with no education as a share of public paid employees","BI.PWK.PUBS.NN.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Individuals with primary education as a share of private paid employees","BI.PWK.PRVS.PR.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Individuals with primary education as a share of public paid employees","BI.PWK.PUBS.PR.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Individuals with secondary education as a share of private paid employees","BI.PWK.PRVS.SG.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Individuals with secondary education as a share of public paid employees","BI.PWK.PUBS.SG.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Individuals with tertiary education as a share of private paid employees","BI.PWK.PRVS.TT.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Individuals with tertiary education as a share of public paid employees","BI.PWK.PUBS.TT.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Mean age of private paid employees","BI.PWK.AGES.PV.SM","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Mean age of public paid employees","BI.PWK.AGES.PB.SM","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Median age of private paid employees","BI.PWK.AGES.PV.MD","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Median age of public paid employees","BI.PWK.AGES.PB.MD","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Number of employed individuals","BI.EMP.TOTL.NO","","","","16949","","","","46610","","","","38229","","","","","",
"Afghanistan","AFG","Number of paid employees","BI.PWK.TOTL.NO","","","","4014","","","","10209","","","","12747","","","","","",
"Afghanistan","AFG","Number of public paid employees","BI.PWK.PUBS.NO","","","","935","","","","2600","","","","3826","","","","","",
"Afghanistan","AFG","Pay compression ratio in private sector","BI.WAG.CPRS.PV.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Pay compression ratio in public sector","BI.WAG.CPRS.PB.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Proportion of total employees with tertiary education working in public sector","BI.EMP.TOTL.PB.TT.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Public sector employment as a share of formal employment","BI.EMP.FRML.PB.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Public sector employment as a share of paid employment","BI.EMP.PWRK.PB.ZS","","","","0.329382449388504","","","","0.262773156166077","","","","0.282973349094391","","","","","",
"Afghanistan","AFG","Public sector employment as a share of paid employment by gender (Female)","BI.EMP.PWRK.PB.FE.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Public sector employment as a share of paid employment by gender (Male)","BI.EMP.PWRK.PB.MA.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Public sector employment as a share of paid employment by location (Rural)","BI.EMP.PWRK.PB.RU.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Public sector employment as a share of paid employment by location (Urban)","BI.EMP.PWRK.PB.UR.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Public sector employment as a share of total employment","BI.EMP.TOTL.PB.ZS","","","","0.0885761305689812","","","","0.0594032034277916","","","","0.109502285718918","","","","","",
"Afghanistan","AFG","Public sector employment as a share of total employment by gender (Female)","BI.EMP.TOTL.PB.FE.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Public sector employment as a share of total employment by gender (Male)","BI.EMP.TOTL.PB.MA.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Public sector employment as a share of total employment by location (Rural)","BI.EMP.TOTL.PB.RU.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Public sector employment as a share of total employment by location (Urban)","BI.EMP.TOTL.PB.UR.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Public sector wage premium (compared to all private employees)","BI.WAG.PREM.PB.GP","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Public sector wage premium (compared to formal wage employees)","BI.WAG.PREM.PB","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Public sector wage premium by education level: No education (compared to formal wage employees)","BI.WAG.PREM.PB.NN","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Public sector wage premium by education level: Primary education (compared to formal wage employees)","BI.WAG.PREM.PB.PR","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Public sector wage premium by education level: Secondary education (compared to formal wage employees)","BI.WAG.PREM.PB.SG","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Public sector wage premium by education level: Tertiary education (compared to formal wage employees)","BI.WAG.PREM.PB.TT","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Public sector wage premium by occupation (Clerks) (compared to formal wage employees)","BI.WAG.PREM.PB.CK","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Public sector wage premium by occupation (Elementary occupation) (compared to formal wage employees)","BI.WAG.PREM.PB.EO","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Public sector wage premium by occupation (Professionals) (compared to formal wage employees)","BI.WAG.PREM.PB.PN","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Public sector wage premium by occupation (Senior officials) (compared to formal wage employees)","BI.WAG.PREM.PB.SN","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Public sector wage premium by occupation (Technicians) (compared to formal wage employees)","BI.WAG.PREM.PB.TN","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Public sector wage premiums by gender (Female) (compared to all private employees) (%)","BI.WAG.PREM.PB.FE","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Public sector wage premiums by gender (Male) (compared to all private employees) (%)","BI.WAG.PREM.PB.MA","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Relative wage of Professionals in private sector (using clerk as reference)","BI.WAG.PRVS.PN","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Relative wage of Professionals in public sector (using clerk as reference)","BI.WAG.PUBS.PN","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Relative wage of Senior officials in private sector (using clerk as reference)","BI.WAG.PRVS.SN","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Relative wage of Senior officials in public sector (using clerk as reference)","BI.WAG.PUBS.SN","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Relative wage of Technicians in private sector  (using clerk as reference)","BI.WAG.PRVS.TN","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Relative wage of Technicians in public sector (using clerk as reference)","BI.WAG.PUBS.TN","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Rural resident as a share of public paid employees","BI.PWK.PUBS.RU.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Rural residents as a share of private paid employees","BI.PWK.PRVS.RU.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Sample size","BI.POP.TOTL.CV","","","","41627","","","","77843","","","","80122","","","","","",
"Afghanistan","AFG","Share of private paid employees with a contract","BI.PWK.PRVS.CT.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Share of private paid employees with health insurance","BI.PWK.PRVS.HS.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Share of private paid employees with social security","BI.PWK.PRVS.SY.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Share of private paid employees with union membership","BI.PWK.PRVS.UM.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Share of public paid employees with a contract","BI.PWK.PUBS.CT.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Share of public paid employees with health insurance","BI.PWK.PUBS.HS.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Share of public paid employees with social security","BI.PWK.PUBS.SY.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Share of public paid employees with union membership","BI.PWK.PUBS.UM.ZS","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Wage bill as a percentage of GDP","BI.WAG.TOTL.GD.ZS","","","","","","","","","","","","12.51914","","","","","",
"Afghanistan","AFG","Wage bill as a percentage of Public Expenditure","BI.WAG.TOTL.PB.ZS","","","","","","","","","","","","57.13893","","","","","",
"Albania","ALB","Female to male wage ratio in the private sector (using mean)","BI.WAG.PRVS.FM.SM","","","0.655015110969543","","","0.593683063983917","","","0.831666648387909","","","","0.772530138492584","","","","",
"Albania","ALB","Female to male wage ratio in the private sector (using median)","BI.WAG.PRVS.FM.MD","","","0.632412970066071","","","0.652173936367035","","","0.828538537025452","","","","0.699999928474426","","","","",
"Albania","ALB","Female to male wage ratio in the public sector (using mean)","BI.WAG.PUBS.FM.SM","","","0.776039183139801","","","0.784138917922974","","","0.836472153663635","","","","0.914816975593567","","","","",
"Albania","ALB","Female to male wage ratio in the public sector (using median)","BI.WAG.PUBS.FM.MD","","","0.803187727928162","","","0.790697634220123","","","0.85185182094574","","","","0.97222226858139","","","","",
"Albania","ALB","Females as a share of private paid employee by wage quintile (Quintile 3)","BI.PWK.PRVS.FE.Q3.ZS","","","0.210249453783035","","","0.124448873102665","","","0.258090198040009","","","","0.184993118047714","","","","",
"Albania","ALB","Females as a share of private paid employees","BI.PWK.PRVS.FE.ZS","","","0.245135441422462","","","0.224242582917213","","","0.30510076880455","","","","0.301319628953934","","","","",
"Albania","ALB","Females as a share of private paid employees by occupation (Clerks)","BI.PWK.PRVS.CK.FE.ZS","","","0.256670206785202","","","0.444935142993927","","","","","","","","","","","",
"Albania","ALB","Females as a share of private paid employees by occupation (Elementary occupation)","BI.PWK.PRVS.EO.FE.ZS","","","0.244417324662209","","","0.243870675563812","","","","","","","","","","","",
"Albania","ALB","Females as a share of private paid employees by occupation (Professionals)","BI.PWK.PRVS.PN.FE.ZS","","","0.472165137529373","","","0.46373575925827","","","","","","","","","","","",
"Albania","ALB","Females as a share of private paid employees by occupation (Senior officials)","BI.PWK.PRVS.SN.FE.ZS","","","0.161205515265465","","","0.188344269990921","","","","","","","","","","","",
"Albania","ALB","Females as a share of private paid employees by occupation (Technicians)","BI.PWK.PRVS.TN.FE.ZS","","","0.478569507598877","","","0.338658332824707","","","","","","","","","","","",
"Albania","ALB","Females as a share of public paid employees by occupation (Clerks)","BI.PWK.PUBS.CK.FE.ZS","","","0.736790418624878","","","0.585842549800873","","","","","","","","","","","",
"Albania","ALB","Females as a share of public paid employees by occupation (Elementary occupation)","BI.PWK.PUBS.EO.FE.ZS","","","0.426623970270157","","","0.538545787334442","","","","","","","","","","","",
"Albania","ALB","Females as a share of public paid employees by occupation (Professionals)","BI.PWK.PUBS.PN.FE.ZS","","","0.519533634185791","","","0.574328303337097","","","","","","","","","","","",
"Albania","ALB","Females as a share of public paid employees by occupation (Senior officials)","BI.PWK.PUBS.SN.FE.ZS","","","0.178950935602188","","","0.259886175394058","","","","","","","","","","","",
