FIPS,county,state,population,kids_population,households,households_with_kids,households_no_kids,median_income,housing_units,median_home_value,real_estate_taxes_paid,median_real_estate_taxes,tax_per_housing_unit,prop_houses_with_kids
04001,"Apache County, Arizona",Arizona,72346,21191,19351,6896,12455,32460,32725,77900,3292400,558,100.60809778456837,35.63640121957521
04003,"Cochise County, Arizona",Arizona,128177,28574,49230,14068,35162,45383,60401,140700,41413500,1129,685.6426218108971,28.576071501117205
04005,"Coconino County, Arizona",Arizona,138064,30095,47366,14239,33127,51106,64435,231300,38785e3,1438,601.9244199580974,30.06164759532154
04007,"Gila County, Arizona",Arizona,53179,10828,21408,5381,16027,40593,33138,139800,19154800,1181,578.0312632023658,25.135463378176382
04009,"Graham County, Arizona",Arizona,37529,10446,10915,4174,6741,47422,13268,121400,6588400,801,496.56315948145914,38.240952817224006
04011,"Greenlee County, Arizona",Arizona,9224,2614,3295,1214,2081,51813,4424,81600,887400,346,200.5877034358047,36.84370257966616
04012,"La Paz County, Arizona",Arizona,20304,3512,9181,1749,7432,36321,16234,71200,4624400,765,284.8589380312923,19.050212395163925
04013,"Maricopa County, Arizona",Arizona,4088549,1023921,1465840,485200,980640,55676,1680412,204900,1514161600,1401,901.0656910329134,33.10047481307647
04015,"Mohave County, Arizona",Arizona,203629,38049,82145,18003,64142,39856,112617,13e4,55166500,876,489.8594350764094,21.916123927201898
04017,"Navajo County, Arizona",Arizona,108209,30207,34090,12321,21769,36868,57554,106100,18345400,843,318.75108593668557,36.14256380170138
04019,"Pima County, Arizona",Arizona,1003338,219290,395390,110776,284614,46764,450828,160800,468772e3,1669,1039.8023192880655,28.01689471155062
04021,"Pinal County, Arizona",Arizona,397604,96391,130801,42576,88225,51190,166455,142200,134084200,1248,805.5282208404674,32.55020986078088
04023,"Santa Cruz County, Arizona",Arizona,46547,13246,15538,6710,8828,38941,18125,135200,14494200,1189,799.68,43.18445102329772
04025,"Yavapai County, Arizona",Arizona,218586,38028,93445,19371,74074,46638,112854,199300,98413e3,1310,872.0382086589753,20.729841082989996
04027,"Yuma County, Arizona",Arizona,203292,53226,70924,28005,42919,41467,90071,113400,51875600,985,575.9412019406913,39.485928599627776
06001,"Alameda County, California",California,1605217,344212,564293,195547,368746,79831,592796,593500,1620412100,4783,2733.5071424233633,34.65345130986917
06003,"Alpine County, California",California,1184,274,343,91,252,62375,1771,329500,885e3,2871,499.7176736307171,26.53061224489796
06005,"Amador County, California",California,36963,5745,14248,3581,10667,57032,18203,265900,23776200,2040,1306.1693127506455,25.133352049410444
06007,"Butte County, California",California,223877,45472,85505,22600,62905,44366,97513,228500,98488400,1691,1010.0027688615877,26.43120285363429
06009,"Calaveras County, California",California,44787,8042,17713,4198,13515,53502,28104,259e3,34438400,2194,1225.3914033589524,23.70010726584994
06011,"Colusa County, California",California,21361,5936,6962,2816,4146,54946,7939,205e3,8032500,1459,1011.7773019271949,40.44814708417122
06013,"Contra Costa County, California",California,1107925,260665,387540,141035,246505,82881,406803,472900,1262020600,4224,3102.289314483915,36.39237240026836
06015,"Del Norte County, California",California,27628,5855,9443,2886,6557,42363,11326,183600,9795400,1497,864.8596150450292,30.562321296198242
06017,"El Dorado County, California",California,183e3,38406,67528,2e4,47528,72586,88882,379200,178372400,3047,2006.845030489863,29.617343916597562
06019,"Fresno County, California",California,963160,278246,299456,126659,172797,45963,323857,204900,338228600,1786,1044.376375993108,42.29636407351998
06021,"Glenn County, California",California,27976,7572,9801,3510,6291,41699,10905,215800,10427200,1600,956.1852361302155,35.81267217630854
06023,"Humboldt County, California",California,135182,26399,53689,14268,39421,42685,62386,279e3,60758600,1842,973.9140191709679,26.575276127325896
06025,"Imperial County, California",California,178807,51341,45800,20834,24966,42560,56906,159e3,41444600,1454,728.2993006009912,45.48908296943232
06027,"Inyo County, California",California,18326,3772,7973,1868,6105,47278,9513,235500,8470100,1670,890.3710711657732,23.42907312178603
06029,"Kern County, California",California,871337,256757,262337,116557,145780,49788,291292,175600,327855900,1864,1125.523186355959,44.43025573975459
06031,"Kings County, California",California,150261,41331,41845,19899,21946,47241,44953,172e3,36028600,1411,801.4726492113986,47.55406858644999
06033,"Lake County, California",California,64076,13028,26194,6976,19218,36132,35633,167300,29240500,1560,820.6016894451773,26.632053141940904
06035,"Lassen County, California",California,31945,5262,9501,2526,6975,51457,12726,174500,9850400,1409,774.0374037403741,26.58667508683297
06037,"Los Angeles County, California",California,10057155,2296785,3281845,1137687,2144158,57952,3490118,465e3,6616330600,3573,1895.7326371200056,34.666079598518515
06039,"Madera County, California",California,153366,42662,43574,18084,25490,45742,49844,204800,50075600,1629,1004.6464970708611,41.50181300775692
06041,"Marin County, California",California,259358,53207,104400,30520,73880,100310,112259,859400,513096600,6622,4570.650014698153,29.233716475095783
06043,"Mariposa County, California",California,17645,2918,7255,1734,5521,49265,10334,250800,10187900,1788,985.8622024385523,23.90075809786354
06045,"Mendocino County, California",California,87409,19043,34594,9513,25081,43510,40695,319100,48301100,2208,1186.9050251873693,27.498988263860785
06047,"Merced County, California",California,265001,79805,78270,36812,41458,44397,84140,171800,77608500,1494,922.3734252436416,47.032068480899454
06049,"Modoc County, California",California,9033,1812,3670,1044,2626,41194,5242,144600,4194700,1080,800.20984357115606,28.446866485013622
06051,"Mono County, California",California,14051,2783,4950,1066,3884,58937,14e3,286100,6220400,2155,444.3142857142857,21.535353535353536
06053,"Monterey County, California",California,430201,113889,125916,51083,74833,60889,140169,393300,224129300,2942,1598.9933580178213,40.5691095651069
06055,"Napa County, California",California,140823,30852,49375,16047,33328,74609,55301,503100,131141500,3777,2371.4128135115097,32.500253164556966
06057,"Nevada County, California",California,98639,17548,40587,9200,31387,57429,53189,355900,92038e3,2931,1730.3953825039011,22.66735654273536
06059,"Orange County, California",California,3132211,721172,1017012,367286,649726,78145,1072121,584200,2814779100,4027,2625.4304318262584,36.11422480757356
06061,"Placer County, California",California,370571,85141,136730,44670,92060,76926,157888,380900,379573500,3638,2404.068073571139,32.67022599283259
06063,"Plumas County, California",California,18754,3108,8376,1834,6542,50125,15693,221300,11836300,1616,754.2407442808895,21.895893027698186
06065,"Riverside County, California",California,2323892,613547,705716,282762,422954,57972,820300,276300,1467161700,2775,1788.5672315006705,40.06739254884401
06067,"Sacramento County, California",California,1479300,360897,527335,183714,343621,57509,562003,271300,779376e3,2379,1386.7826328329209,34.83819583376791
06069,"San Benito County, California",California,58051,15708,17390,7688,9702,73814,18139,423100,39724200,3487,2189.9884227355424,44.2093156986774
06071,"San Bernardino County, California",California,2106754,576482,618922,267796,351126,54469,708442,256e3,948632400,2192,1339.0403166384829,43.2681339490275
06073,"San Diego County, California",California,3253356,727664,1103128,374788,728340,66529,1187644,454600,2404530700,3473,2024.6224457834167,33.97502375064362
06075,"San Francisco County, California",California,850282,114628,356797,66107,290690,87701,386755,858800,865489400,5720,2237.823428268542,18.52790242070421
06077,"San Joaquin County, California",California,714860,199521,221707,95098,126609,55045,237752,246900,330684400,2329,1390.8795719909822,42.8935486926439
06079,"San Luis Obispo County, California",California,278680,50812,104404,27684,76720,64014,119399,471800,227174600,3449,1902.650775969648,26.516225431975787
06081,"San Mateo County, California",California,754748,162440,261010,86587,174423,98546,273798,845300,1040927200,5693,3801.8071717105313,33.17382475767212
06083,"Santa Barbara County, California",California,439395,98870,143051,48249,94802,65161,154574,48e4,322771e3,3293,2088.1325449299366,33.728530384268545
06085,"Santa Clara County, California",California,1885056,435218,626579,238887,387692,101173,651905,752400,2314850500,5800,3550.901588421626,38.12559948545993
06087,"Santa Cruz County, California",California,270931,54522,95062,28089,66973,70088,105255,615200,248238900,4061,2358.4523300555793,29.548084408070522
06089,"Shasta County, California",California,179228,38822,69713,18331,51382,45582,77942,223500,83874700,1713,1076.1168561237844,26.29495216100297
06091,"Sierra County, California",California,2931,425,1275,152,1123,43984,2349,170300,1880200,1550,800.4257130693912,11.92156862745098
06093,"Siskiyou County, California",California,43668,8841,19045,4650,14395,38524,24034,173100,20369900,1364,847.5451443787967,24.4158571803623
