county,population_2010,religion,adherents,adherents_per_1000,congregations
Beaver County,6629,AG,NA,NA,NA
Beaver County,6629,BUDM,NA,NA,NA
Beaver County,6629,CATH,152,22.9288888888889,1
Beaver County,6629,EC,NA,NA,NA
Beaver County,6629,EVAN,28,4.21888888888889,2
Beaver County,6629,GRK,NA,NA,NA
Beaver County,6629,LCMS,NA,NA,NA
Beaver County,6629,LDS,4965,748.98,15
Beaver County,6629,MPRT,NA,NA,NA
Beaver County,6629,MSLM,NA,NA,NA
Beaver County,6629,NOND,NA,NA,NA
Beaver County,6629,ORTH,NA,NA,NA
Beaver County,6629,PC,NA,NA,NA
Beaver County,6629,SBC,16,2.41,1
Beaver County,6629,UMC,NA,NA,NA
Box Elder County,49975,AG,120,2.39888888888889,1
Box Elder County,49975,BUDM,1250,25.0125062531266,1
Box Elder County,49975,CATH,2008,40.1788888888889,2
Box Elder County,49975,EC,85,1.7,1
Box Elder County,49975,EVAN,807,16.1488888888889,10
Box Elder County,49975,GRK,NA,NA,NA
Box Elder County,49975,LCMS,NA,NA,NA
Box Elder County,49975,LDS,40668,813.768888888889,103
Box Elder County,49975,MPRT,389,7.78,3
Box Elder County,49975,MSLM,NA,NA,NA
Box Elder County,49975,NOND,270,5.4,4
Box Elder County,49975,ORTH,NA,NA,NA
Box Elder County,49975,PC,138,2.75888888888889,1
Box Elder County,49975,SBC,197,3.94,2
Box Elder County,49975,UMC,166,3.31888888888889,1
Cache County,112656,AG,295,2.62,2
Cache County,112656,BUDM,NA,NA,NA
Cache County,112656,CATH,3308,29.3588888888889,1
Cache County,112656,EC,319,2.83,1
Cache County,112656,EVAN,1596,14.1688888888889,17
Cache County,112656,GRK,NA,NA,NA
Cache County,112656,LCMS,111,0.99,1
Cache County,112656,LDS,92665,822.548888888889,285
Cache County,112656,MPRT,843,7.48,4
Cache County,112656,MSLM,308,2.73,1
Cache County,112656,NOND,419,3.72,4
Cache County,112656,ORTH,NA,NA,NA
Cache County,112656,PC,353,3.12888888888889,1
Cache County,112656,SBC,432,3.83,4
Cache County,112656,UMC,NA,NA,NA
Carbon County,21403,AG,25,1.16888888888889,1
Carbon County,21403,BUDM,NA,NA,NA
Carbon County,21403,CATH,4091,191.138888888889,4
Carbon County,21403,EC,128,5.98,1
Carbon County,21403,EVAN,1002,46.82,14
Carbon County,21403,GRK,280,13.08,1
Carbon County,21403,LCMS,NA,NA,NA
Carbon County,21403,LDS,11367,531.09,31
Carbon County,21403,MPRT,367,17.1488888888889,3
Carbon County,21403,MSLM,NA,NA,NA
Carbon County,21403,NOND,178,8.32,3
Carbon County,21403,ORTH,280,13.08,1
Carbon County,21403,PC,NA,NA,NA
Carbon County,21403,SBC,180,8.41,3
Carbon County,21403,UMC,111,5.19,1
Daggett County,1059,AG,NA,NA,NA
Daggett County,1059,BUDM,NA,NA,NA
Daggett County,1059,CATH,NA,NA,NA
Daggett County,1059,EC,NA,NA,NA
Daggett County,1059,EVAN,NA,NA,NA
Daggett County,1059,GRK,NA,NA,NA
Daggett County,1059,LCMS,NA,NA,NA
Daggett County,1059,LDS,695,656.278888888889,3
Daggett County,1059,MPRT,NA,NA,NA
Daggett County,1059,MSLM,NA,NA,NA
Daggett County,1059,NOND,NA,NA,NA
Daggett County,1059,ORTH,NA,NA,NA
Daggett County,1059,PC,NA,NA,NA
Daggett County,1059,SBC,NA,NA,NA
Daggett County,1059,UMC,NA,NA,NA
Davis County,306479,AG,3315,10.82,5
Davis County,306479,BUDM,102,0.332812362347828,1
Davis County,306479,CATH,12782,41.71,1
Davis County,306479,EC,286,0.93,2
Davis County,306479,EVAN,7928,25.87,34
Davis County,306479,GRK,NA,NA,NA
Davis County,306479,LCMS,328,1.07,2
Davis County,306479,LDS,228813,746.59,550
Davis County,306479,MPRT,1135,3.7,7
Davis County,306479,MSLM,50,0.16,1
Davis County,306479,NOND,925,3.02,6
Davis County,306479,ORTH,NA,NA,NA
Davis County,306479,PC,202,0.66,1
Davis County,306479,SBC,2219,7.24,7
Davis County,306479,UMC,NA,NA,NA
Duchesne County,18607,AG,125,6.71888888888889,1
Duchesne County,18607,BUDM,NA,NA,NA
Duchesne County,18607,CATH,268,14.4,1
Duchesne County,18607,EC,NA,NA,NA
Duchesne County,18607,EVAN,565,30.3588888888889,6
Duchesne County,18607,GRK,NA,NA,NA
Duchesne County,18607,LCMS,15,0.81,1
Duchesne County,18607,LDS,13676,734.99,33
Duchesne County,18607,MPRT,18,0.97,1
Duchesne County,18607,MSLM,NA,NA,NA
Duchesne County,18607,NOND,99,5.32,2
Duchesne County,18607,ORTH,NA,NA,NA
Duchesne County,18607,PC,18,0.97,1
Duchesne County,18607,SBC,326,17.5188888888889,2
Duchesne County,18607,UMC,NA,NA,NA
Emery County,10976,AG,NA,NA,NA
Emery County,10976,BUDM,NA,NA,NA
Emery County,10976,CATH,105,9.57,2
Emery County,10976,EC,NA,NA,NA
Emery County,10976,EVAN,403,36.7188888888889,4
Emery County,10976,GRK,NA,NA,NA
Emery County,10976,LCMS,NA,NA,NA
Emery County,10976,LDS,8483,772.87,22
Emery County,10976,MPRT,NA,NA,NA
Emery County,10976,MSLM,NA,NA,NA
Emery County,10976,NOND,150,13.67,1
Emery County,10976,ORTH,NA,NA,NA
Emery County,10976,PC,NA,NA,NA
Emery County,10976,SBC,103,9.38,2
Emery County,10976,UMC,NA,NA,NA
Garfield County,5172,AG,NA,NA,NA
Garfield County,5172,BUDM,NA,NA,NA
Garfield County,5172,CATH,50,9.67,1
Garfield County,5172,EC,NA,NA,NA
Garfield County,5172,EVAN,25,4.83,1
Garfield County,5172,GRK,NA,NA,NA
Garfield County,5172,LCMS,NA,NA,NA
Garfield County,5172,LDS,3781,731.048888888889,15
Garfield County,5172,MPRT,NA,NA,NA
Garfield County,5172,MSLM,NA,NA,NA
Garfield County,5172,NOND,NA,NA,NA
Garfield County,5172,ORTH,NA,NA,NA
Garfield County,5172,PC,NA,NA,NA
Garfield County,5172,SBC,25,4.83,1
Garfield County,5172,UMC,NA,NA,NA
Grand County,9225,AG,85,9.21,1
Grand County,9225,BUDM,NA,NA,NA
Grand County,9225,CATH,635,68.8288888888889,1
Grand County,9225,EC,259,28.0788888888889,2
Grand County,9225,EVAN,823,89.2088888888889,7
Grand County,9225,GRK,NA,NA,NA
Grand County,9225,LCMS,32,3.47,1
Grand County,9225,LDS,2869,311,8
Grand County,9225,MPRT,555,60.1588888888889,4
Grand County,9225,MSLM,NA,NA,NA
Grand County,9225,NOND,88,9.53888888888889,1
Grand County,9225,ORTH,NA,NA,NA
Grand County,9225,PC,NA,NA,NA
Grand County,9225,SBC,506,54.85,1
Grand County,9225,UMC,NA,NA,NA
Iron County,46163,AG,99,2.14,1
Iron County,46163,BUDM,NA,NA,NA
Iron County,46163,CATH,2248,48.7,2
Iron County,46163,EC,46,1,1
Iron County,46163,EVAN,1384,29.98,12
Iron County,46163,GRK,NA,NA,NA
Iron County,46163,LCMS,77,1.67,1
Iron County,46163,LDS,31883,690.658888888889,96
Iron County,46163,MPRT,252,5.46,2
Iron County,46163,MSLM,NA,NA,NA
Iron County,46163,NOND,375,8.11888888888889,3
Iron County,46163,ORTH,NA,NA,NA
Iron County,46163,PC,206,4.46,1
Iron County,46163,SBC,547,11.8488888888889,2
Iron County,46163,UMC,NA,NA,NA
Juab County,10246,AG,NA,NA,NA
Juab County,10246,BUDM,NA,NA,NA
Juab County,10246,CATH,145,14.15,1
Juab County,10246,EC,NA,NA,NA
Juab County,10246,EVAN,NA,NA,NA
Juab County,10246,GRK,NA,NA,NA
Juab County,10246,LCMS,NA,NA,NA
Juab County,10246,LDS,8373,817.2,19
Juab County,10246,MPRT,32,3.12,1
Juab County,10246,MSLM,NA,NA,NA
Juab County,10246,NOND,NA,NA,NA
Juab County,10246,ORTH,NA,NA,NA
Juab County,10246,PC,NA,NA,NA
Juab County,10246,SBC,NA,NA,NA
Juab County,10246,UMC,32,3.12,1
Kane County,7125,AG,NA,NA,NA
Kane County,7125,BUDM,NA,NA,NA
Kane County,7125,CATH,242,33.96,2
Kane County,7125,EC,NA,NA,NA
Kane County,7125,EVAN,213,29.89,4
Kane County,7125,GRK,NA,NA,NA
