mm_id,color
1,Green
2,Yellow
3,Orange
4,Green
5,Green
6,Brown
7,Brown
8,Green
9,Orange
10,Red
11,Orange
12,Red
13,Orange
14,Red
15,Brown
16,Brown
17,Red
18,Blue
19,Orange
20,Red
21,Yellow
22,Yellow
23,Blue
24,Red
25,Orange
26,Red
27,Blue
28,Red
29,Yellow
30,Yellow
31,Blue
32,Orange
33,Green
34,Blue
35,Brown
36,Green
37,Green
38,Green
39,Green
40,Green
41,Yellow
42,Blue
43,Yellow
44,Orange
45,Orange
46,Blue
47,Green
48,Green
49,Red
50,Blue
51,Green
52,Orange
53,Orange
54,Green
55,Brown
56,Yellow
57,Orange
58,Yellow
59,Blue
60,Green
61,Red
62,Yellow
63,Brown
64,Green
65,Green
66,Orange
67,Brown
68,Green
69,Green
70,Brown
71,Blue
72,Green
73,Yellow
74,Yellow
75,Red
76,Blue
77,Yellow
78,Green
79,Green
80,Blue
81,Yellow
82,Orange
83,Yellow
84,Green
85,Red
86,Blue
87,Brown
88,Orange
89,Orange
90,Red
91,Blue
92,Blue
93,Orange
94,Green
95,Orange
96,Orange
97,Orange
98,Blue
99,Red
100,Yellow
101,Yellow
102,Blue
103,Red
104,Yellow
105,Yellow
106,Green
107,Blue
108,Red
109,Green
110,Blue
111,Red
112,Blue
113,Green
114,Blue
115,Yellow
116,Green
117,Blue
118,Green
119,Orange
120,Red
121,Green
122,Blue
123,Yellow
124,Red
125,Brown
126,Blue
127,Orange
128,Green
129,Blue
130,Brown
131,Brown
132,Yellow
133,Red
134,Yellow
135,Brown
136,Orange
137,Orange
138,Green
139,Orange
140,Yellow
141,Yellow
142,Orange
143,Orange
144,Orange
145,Brown
146,Red
147,Green
148,Green
149,Brown
150,Orange
151,Blue
152,Red
153,Green
154,Green
155,Blue
156,Brown
157,Brown
158,Orange
159,Blue
160,Orange
161,Orange
162,Blue
163,Blue
164,Blue
165,Blue
166,Blue
167,Green
168,Yellow
169,Red
170,Green
171,Orange
172,Brown
173,Green
174,Orange
175,Brown
176,Red
177,Orange
178,Brown
179,Green
180,Orange
181,Green
182,Red
183,Brown
184,Green
185,Yellow
186,Red
187,Blue
188,Red
189,Brown
190,Green
191,Green
192,Yellow
193,Red
194,Blue
195,Orange
196,Green
197,Yellow
198,Green
199,Brown
200,Blue
201,Green
202,Blue
203,Brown
204,Green
205,Blue
206,Brown
207,Red
208,Green
209,Green
210,Brown
211,Blue
212,Blue
213,Red
214,Green
215,Blue
216,Green
217,Blue
218,Orange
219,Green
220,Orange
221,Orange
222,Orange
223,Blue
224,Orange
